ROWNUM;CommonName;FullName;ShortName;AdmAreaCode;AdmArea;District;PostalCode;Address;NearestMetroStations;ChiefName;ChiefPosition;ChiefPhone;ContactPhone;ArchivePhone;SignPGU;WorkingHours;ClarificationOfWorkingHours;WebSite;X_WGS;Y_WGS;GLOBALID;
13;"Зеленоградский ЗАГС";"Зеленоградский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Зеленоградский отдел ЗАГС Управления ЗАГС Москвы";"1000";"Зеленоградский административный округ";"район Матушкино";"124498";"город Зеленоград, корпус 240";"Речной вокзал (Замоскворецкая линия)";"Мельникова Наталья Владимировна";"начальник";"(499) 735-32-22";"(495) 944-56-01; (499) 735-27-45; (499) 735-55-22";"(495) 944-55-66";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/zelenogradskiy_otdel_zags/";"37.206949";"56.00132";"47011420";
14;"Измайловский ЗАГС";"Измайловский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Измайловский отдел ЗАГС Управления ЗАГС Москвы";"0400";"Восточный административный округ";"район Измайлово";"105043";"9-я Парковая улица, дом 5А";"Измайловская (Арбатско-Покровская линия)";"Артемьева Наталья Викторовна";"начальник";"(499) 463-10-78";"(499) 463-11-05; (499) 463-11-50; (499) 463-10-78";"(499) 463-11-50";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/izmaylovskiy_otdel_zags/";"37.799021";"55.790327";"47011421";
15;"Кунцевский ЗАГС";"Кунцевский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Кунцевский отдел ЗАГС Управления ЗАГС Москвы";"0800";"Западный административный округ";"район Кунцево";"121351";"Полоцкая улица, дом 23";"Молодёжная (Арбатско-Покровская линия)";"Харитонович Елена Александровна";"начальник";"(495) 417-84-95";"(495) 417-84-95; (495) 417-81-65; (495) 417-71-14";"(495) 417-81-65";"нет";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/kuntsevskiy_otdel_zags/";"37.423523";"55.732974";"47011422";
16;"Кутузовский ЗАГС";"Кутузовский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Кутузовский отдел ЗАГС Управления ЗАГС Москвы";"0800";"Западный административный округ";"район Дорогомилово";"121151";"Кутузовский проспект, дом 23, корпус 1";"Студенческая (Филёвская линия)";"Батурина Татьяна Николаевна";"начальник";"(499) 249-01-66";"(499) 249-01-66; (499) 249-39-27; (499) 249-38-65";"(499) 249-39-27";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/kutuzovskiy_otdel_zags/";"37.548325";"55.744518";"47011423";
17;"Левобережный ЗАГС";"Левобережный отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Левобережный отдел ЗАГС Управления ЗАГС Москвы";"0200";"Северный административный округ";"район Левобережный";"125565";"Фестивальная улица, дом 9";"Речной вокзал (Замоскворецкая линия)";"Боровская Елена Владимировна";"начальник";"(499) 458-61-88";"(499) 458-61-88; (499) 458-57-23; (499) 458-40-91";"(499) 458-57-23";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/levoberezhnyy_otdel_zags";"37.474323";"55.856744";"47011424";
18;"Люблинский ЗАГС";"Люблинский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Люблинский отдел ЗАГС Управления ЗАГС Москвы";"0500";"Юго-Восточный административный округ";"район Текстильщики";"109129";"8-я улица Текстильщиков, дом 14";"Текстильщики (Таганско-Краснопресненская линия)";"Травушкина Галина Дмитриевна";"начальник";"(499) 176-81-98";"(499) 178-10-02; (499) 179-67-25; (499) 178-49-11";"(499) 179-67-25";"нет";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/lyublinskiy_otdel_zags/";"37.746249";"55.701949";"47011425";
19;"Медведковский ЗАГС";"Медведковский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Медведковский отдел ЗАГС Управления ЗАГС Москвы";"0300";"Северо-Восточный административный округ";"район Южное Медведково";"127221";"улица Молодцова, дом 1А";"Бабушкинская (Калужско-Рижская линия)";"Зверева Ольга Валерьевна";"начальник";"(499) 478-58-58";"(499) 478-44-44; (499) 478-64-64; (499) 479-05-90";"(499) 478-44-44";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/medvedkovskiy_otdel_zags/";"37.646247";"55.876957";"47011426";
20;"Мещанский ЗАГС";"Мещанский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Мещанский отдел ЗАГС Управления ЗАГС Москвы";"0100";"Центральный административный округ";"Мещанский район";"129090";"проспект Мира, дом 16, строение 1";"Сухаревская (Калужско-Рижская линия)";"Жучкова Елена Владимировна";"начальник";"(495) 608-94-22";"(495) 608-94-22; (495) 608-92-96; (495) 608-93-97";"(495) 608-92-96";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/meshchanskiy_otdel_zags/";"37.632893";"55.775697";"47011427";
21;"Нагатинский ЗАГС";"Нагатинский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Нагатинский отдел ЗАГС Управления ЗАГС Москвы";"0600";"Южный административный округ";"район Нагатинский Затон";"115470";"Нагатинская набережная, дом 34";"Коломенская (Замоскворецкая линия)";"Васильева Ольга Сергеевна";"начальник";"(499) 618-21-01";"(499) 618-21-01; (499) 616-50-85; (499) 618-27-83; (499) 725-17-86";"(499) 616-50-85";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/nagatinskiy_otdel_zags/";"37.670273";"55.685059";"47011428";
22;"Перовский ЗАГС";"Перовский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Перовский отдел ЗАГС Управления ЗАГС Москвы";"0400";"Восточный административный округ";"район Перово";"111141";"Перовская улица, дом 43";"Перово (Калининская линия)";"Ковалева Ольга Михайловна";"начальник";"(495) 368-35-10";"(495) 368-35-10; (495) 309-34-07; (495) 368-35-11";"(495) 309-34-07";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/perovskiy_otdel_zags/";"37.783497";"55.746183";"47011429";
23;"Рязанский ЗАГС";"Рязанский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Рязанский отдел ЗАГС Управления ЗАГС Москвы";"0500";"Юго-Восточный административный округ";"Рязанский район";"109377";"1-я Новокузьминская улица, дом 3";"Рязанский проспект (Таганско-Краснопресненская линия)";"Федякова Елена Викторовна";"начальник";"(495) 379-69-80";"(495) 379-69-80; (495) 379-69-32; (495) 919-51-00";"(495) 919-51-00";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/ryazanskiy_otdel_zags/";"37.78506";"55.716588";"47011430";
24;"Солнцевский ЗАГС";"Солнцевский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Солнцевский отдел ЗАГС Управления ЗАГС Москвы";"0800";"Западный административный округ";"район Солнцево";"119619";"Боровский проезд, дом 2";"Юго-Западная (Сокольническая линия)";"Подставкина Лариса Тимофеевна";"начальник";"(495) 435-08-09";"(495) 435-06-84; (495) 435-00-68; (495) 435-02-43";"(495) 435-00-68";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/solntsevskiy_otdel_zags/";"37.392569";"55.655853";"47011431";
25;"Таганский ЗАГС";"Таганский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Таганский отдел ЗАГС Управления ЗАГС Москвы";"0100";"Центральный административный округ";"Таганский район";"109147";"Таганская улица, дом 44";"Марксистская (Калининская линия)";"Лазарева Ольга Викторовна";"начальник";"(495) 912-95-44";"(495) 912-95-44; (495) 912-72-64; (495) 912-72-92";"(495) 912-72-64";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/taganskiy_otdel_zags/";"37.669719";"55.738958";"47011432";
26;"Тверской ЗАГС";"Тверской отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Тверской отдел ЗАГС Управления ЗАГС Москвы";"0100";"Центральный административный округ";"Тверской район";"125047";"3-я Тверская-Ямская улица, дом 52";"Белорусская (Кольцевая линия)";"Потамошнева Светлана Петровна";"начальник";"(499) 251-90-00";"(499) 251-82-33; (499) 251-53-88; (499) 251-55-33; (499) 251-59-39";"(499) 251-82-33";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/tverskoy_otdel_zags/";"37.591078";"55.775201";"47011433";
27;"Тушинский ЗАГС";"Тушинский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Тушинский отдел ЗАГС Управления ЗАГС Москвы";"0900";"Северо-Западный административный округ";"район Северное Тушино";"125364";"Химкинский бульвар, дом 14, корпус 1";"Сходненская (Таганско-Краснопресненская линия)";"Вершинина Марина Владимировна";"начальник";"(499) 493-25-81";"(499) 493-25-81; (499) 497-42-15; (499) 497-40-41";"(499) 493-25-95";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/tushinskiy_otdel_zags/";"37.447025";"55.852443";"47011434";
28;"Управление ЗАГС Москвы";"Управления записи актов гражданского состояния города Москвы";"Управление ЗАГС Москвы";"0100";"Центральный административный округ";"район Арбат";"119019";"улица Новый Арбат, дом 21";"Смоленская (Филёвская линия)";"Муравьева Ирина Николаевна";"начальник";"(495) 697-52-46";"(495) 697-52-46";"";"нет";"понедельник 08:00-17:30; вторник 08:00-17:30; среда 08:00-17:30; четверг 08:00-17:30; пятница 08:00-16:30; суббота выходной; воскресенье выходной";"";"zags.mos.ru/contacts/";"37.58679";"55.751891";"47011435";
29;"Ухтомский ЗАГС";"Ухтомский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Ухтомский отдел ЗАГС Управления ЗАГС Москвы";"0400";"Восточный административный округ";"район Косино-Ухтомский";"111675";"Лухмановская улица, дом 15, корпус 3";"Новокосино (Калининская линия)";"Жарова Светлана Николаевна";"начальник";"(499) 797-70-90";"(499) 797-70-90; (499) 797-70-60";"(499) 797-72-10";"нет";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/ukhtomskiy_otdel_zags/";"37.893913";"55.72207";"47011436";
30;"Хамовнический ЗАГС";"Хамовнический отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Хамовнический отдел ЗАГС Управления ЗАГС Москвы";"0100";"Центральный административный округ";"район Хамовники";"119121";"1-й Вражский переулок, дом 4";"Киевская (Кольцевая линия)";"Агафонова Наталья Анатольевна";"начальник";"(499) 255-82-00";"(499) 255-88-32; (499) 255-88-05; (499) 255-82-00; (499) 248-12-02";"(499) 255-88-05";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/khamovnicheskiy_otdel_zags/";"37.574778";"55.7397";"47011437";
31;"Хорошевский ЗАГС";"Хорошевский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Хорошевский отдел ЗАГС Управления ЗАГС Москвы";"0900";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"123154";"улица Народного Ополчения, дом 23, корпус 2";"Октябрьское поле (Таганско-Краснопресненская линия)";"Старостина Елена Владимировна";"начальник";"(499) 199-95-75";"(499) 199-95-75; (499) 199-26-88; (495) 947-67-60";"(495) 947-67-60";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/khoroshevskiy_otdel_zags/";"37.476219";"55.778649";"47011438";
32;"Царицынский ЗАГС";"Царицынский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Царицынский отдел ЗАГС Управления ЗАГС Москвы";"0600";"Южный административный округ";"район Царицыно";"115477";"Кантемировская улица, дом 9";"Кантемировская (Замоскворецкая линия)";"Забелина Юлия Валерьевна";"начальник";"(495) 321-05-45";"(495) 321-05-45; (499) 320-66-16; (499) 320-73-00";"(499) 320-73-00";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/tsaritsynskiy_otdel_zags/";"37.671314";"55.636115";"47011439";
33;"Черемушкинский ЗАГС";"Черемушкинский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Черемушкинский отдел ЗАГС Управления ЗАГС Москвы";"0700";"Юго-Западный административный округ";"район Коньково";"117437";"улица Миклухо-Маклая, дом 20";"Беляево (Калужско-Рижская линия)";"Мишина Ирина Сергеевна";"начальник";"(495) 330-04-44";"(495) 330-04-44; (495) 335-00-11; (495) 330-76-01";"(495) 330-72-55";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/cheremushkinskiy_otdel_zags/";"37.51885";"55.644536";"47011440";
34;"Чертановский ЗАГС";"Чертановский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Чертановский отдел ЗАГС Управления ЗАГС Москвы";"0600";"Южный административный округ";"Нагорный район";"117452";"Ялтинская улица, дом 1А";"Варшавская (Каховская линия)";"Сахарова Людмила Павловна";"начальник";"(499) 610-99-12";"(499) 619-85-41; (499) 619-66-62; (499) 619-66-59; (499) 619-60-46; (499) 619-67-67";"(499) 619-66-62";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/chertanovskiy_otdel_zags/";"37.611508";"55.650724";"47011441";
35;"Митинский ЗАГС";"Митинский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Митинский отдел ЗАГС Управления ЗАГС Москвы";"0900";"Северо-Западный административный округ";"район Митино";"125464";"Пятницкое шоссе, дом 16, корпус 4";"Волоколамская (Арбатско-Покровская линия)";"Шахназарян Евгения Александровна";"начальник";"(495) 752-69-31";"(495) 752-69-31; (495) 752-13-71";"(495) 752-61-26";"нет";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/mitinskiy_otdel_zags/";"37.387807";"55.842559";"47011442";
36;"ЗАГС Южное Бутово";"Отдел записи актов гражданского состояния Южное Бутово Управления записи актов гражданского состояния города Москвы";"Отдел ЗАГС Южное Бутово Управления ЗАГС Москвы";"0700";"Юго-Западный административный округ";"район Южное Бутово";"117148";"улица Маршала Савицкого, дом 28";"Бульвар адмирала Ушакова (Бутовская линия Лёгкого метро)";"Шатова Ирина Алексеевна";"начальник";"(499) 940-01-67";"(499) 940-01-67; (499) 940-98-18";"(499) 940-98-18";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/otdel_zags_yuzhnoe_butovo/";"37.597397";"55.504393";"47011443";
37;"Троицкий ЗАГС";"Троицкий отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Троицкий отдел ЗАГС Управления ЗАГС Москвы";"1200";"Троицкий административный округ";"поселение Троицк";"142190";"город Троицк, Центральная улица, дом 28";"Тёплый стан (Калужско-Рижская линия)";"Кочегурова Людмила Павловна";"начальник";"(495) 851-04-80";"(495) 851-04-80; (495) 851-91-16; (495) 851-91-23";"(495) 851-04-80";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/troitskiy_otdel_zags/";"37.295495";"55.467838";"47011444";
38;"Новомосковский ЗАГС";"Новомосковский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Новомосковский отдел ЗАГС Управления ЗАГС Москвы";"1100";"Новомосковский административный округ";"поселение Московский";"142784";"город Московский, микрорайон 3, дом 11";"Юго-Западная (Сокольническая линия)";"Корнетова Татьяна Николаевна";"начальник";"(915) 129-14-57";"(495) 966-02-82";"(915) 129-14-57";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/novomoskovskiy_otdel_zags/";"37.342139";"55.595521";"47011445";
39;"Дворец бракосочетания в Коломенском";"Дворец бракосочетания в Коломенском Управления записи актов гражданского состояния города Москвы";"Дворец бракосочетания в Коломенском Управления ЗАГС Москвы";"0600";"Южный административный округ";"район Нагатинский Затон";"115487";"проспект Андропова, дом 39, Дворец царя Алексея Михайловича";"Каширская (Замоскворецкая линия)";"Ерошевич Ольга Олеговна";"начальник";"(499) 782-88-91";"(499) 782-88-91";"";"нет";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Дворец работает со вторника по субботу с 9:00 до 17:30. Обед с 13:00 до 13:30.";"zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_v_Kolomenskom/";"37.656071";"55.655921";"90652452";
40;"Дворец бракосочетания на ВВЦ";"Дворец бракосочетания на ВВЦ Управления записи актов гражданского состояния города Москвы";"Дворец бракосочетания на ВВЦ Управления ЗАГС Москвы";"0300";"Северо-Восточный административный округ";"Останкинский район";"129223";"проспект Мира, домовладение 119, строение 421, ВВЦ";"ВДНХ (Калужско-Рижская линия)";"Шарпар Наталия Владимировна";"начальник";"(499) 760-39-58";"(495) 974-34-57";"";"нет";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Перерыв с 14:00 до 15:00. Первый вторник каждого месяца-санитарный день.";"zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_na_VVC/";"37.626499";"55.835699";"90652453";
41;"Новофедоровский отдел ЗАГС";"Новофедоровский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Новофедоровский отдел ЗАГС Управления ЗАГС Москвы";"1200";"Троицкий административный округ";"поселение Новофедоровское";"143340";"деревня Яковлевское, дом 4";"Юго-Западная (Сокольническая линия)";"Кочегурова Клавдия Павловна";"начальник";"(495) 842-03-58";"(495) 842-03-58";"(495) 842-03-58";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/novofedorovskiy_otdel_zags/";"36.941031";"55.46502";"94659648";
1;"Академический ЗАГС";"Академический отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Академический отдел ЗАГС Управления ЗАГС Москвы";"0700";"Юго-Западный административный округ";"Академический район";"117218";"Профсоюзная улица, дом 13/12";"Профсоюзная (Калужско-Рижская линия)";"Селина Елена Михайловна";"начальник";"(499) 125-06-51";"(499) 125-55-67; (499) 125-53-11; (499) 125-06-51";"(499) 125-53-11";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/akademicheskiy_otdel_zags/";"37.567141";"55.680825";"47011408";
2;"Архивно-информационный отдел";"Архивно-информационный отдел Управления записи актов гражданского состояния города Москвы";"Архивно-информационный отдел Управления ЗАГС Москвы";"0100";"Центральный административный округ";"Басманный район";"101990";"Малый Харитоньевский переулок, дом 10, строение 1";"Чистые пруды (Сокольническая линия)";"Бараник Ольга Петровна";"начальник";"(495) 628-04-40";"(495) 623-70-89; (495) 624-26-81";"(495) 623-70-89";"нет";"понедельник 09:00-17:30; вторник 09:00-17:30; среда выходной; четверг 09:00-17:30; пятница 09:00-16:30; суббота выходной; воскресенье выходной";"Обед с 13:00 до 14:00. Среда каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/arkhivno_informatsionnyy_otdel/";"37.644421";"55.765963";"47011409";
3;"Бабушкинский ЗАГС";"Бабушкинский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Бабушкинский отдел ЗАГС Управления ЗАГС Москвы";"0300";"Северо-Восточный административный округ";"Бабушкинский район";"129327";"улица Менжинского, дом 23, корпус 1";"Бабушкинская (Калужско-Рижская линия)";"Марченко Татьяна Анатольевна";"начальник";"(499) 181-70-06";"(499) 186-00-58; (499) 186-00-70";"(499) 186-00-58";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/babushkinskiy_otdel_zags/";"37.660259";"55.869862";"47011410";
4;"Богородский ЗАГС";"Богородский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Богородский отдел ЗАГС Управления ЗАГС Москвы";"0400";"Восточный административный округ";"район Богородское";"107150";"бульвар Маршала Рокоссовского, дом 21/21";"Улица Подбельского (Сокольническая линия)";"Андриевская Гульсиня Жафяровна";"начальник";"(499) 169-31-55";"(499) 169-31-55; (499) 169-11-70; (499) 169-42-46";"(499) 169-11-70";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/bogorodskiy_otdel_zags/";"37.719957";"55.813686";"47011411";
5;"Вернадский ЗАГС";"Вернадский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Вернадский отдел ЗАГС Управления ЗАГС Москвы";"0800";"Западный административный округ";"район Проспект Вернадского";"119415";"улица Лобачевского, дом 2";"Проспект Вернадского (Сокольническая линия)";"Костина Екатерина Андреевна";"начальник";"(499) 432-90-01";"(499) 432-90-01; (499) 432-32-40; (499) 432-33-25";"(499) 432-32-40";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/vernadskiy_otdel_zags/";"37.509489";"55.665281";"47011412";
6;"Гагаринский ЗАГС";"Гагаринский отдел записи актов гражданского состояния Управления записи актов гражданского состояния города Москвы";"Гагаринский отдел ЗАГС Управления ЗАГС Москвы";"0700";"Юго-Западный административный округ";"Гагаринский район";"119334";"Ленинский проспект, дом 44";"Ленинский проспект (Калужско-Рижская линия)";"Севостьянова Юлия Борисовна";"начальник";"(499) 137-76-24";"(499) 137-76-24; (499) 137-32-42; (499) 137-71-22";"(499) 137-37-51";"да";"понедельник выходной; вторник 09:00-17:30; среда 09:00-17:30; четверг 09:00-17:30; пятница 09:00-17:30; суббота 09:00-17:30; воскресенье выходной";"Обед с 14:00 до 15:00. Четвертый четверг каждого месяца – санитарный день.";"zags.mos.ru/zags_moskvy/otdely/gagarinskiy_otdel_zags/";"37.568075";"55.701738";"47011413";
